CustomerID,Age,Gender,AnnualIncome,SpendingScore,PurchaseFrequency,AvgPurchaseAmount,TotalPurchaseValue,OnlinePurchasePercentage,RecencyDays,PreferredCategory,Location,MembershipLevel,DiscountUsagePercentage,SatisfactionScore
CUST0068,35,Male,51674,57,6,1562.72,9376.32,61,6,Sports,Mumbai,Gold,25,8.1
CUST0069,43,Female,81326,72,9,1969.93,17729.37,70,59,Beauty,Aurangabad,Basic,39,7.8
CUST0070,61,Female,71584,54,11,1415.94,15575.34,10,9,Grocery,Pune,Basic,26,7.2
CUST0071,51,Female,93638,73,19,1447.75,27507.25,36,14,Fashion,Mumbai,Basic,51,9.5
CUST0072,27,Male,99353,63,18,1411.09,25399.62,58,62,Fashion,Mumbai,Silver,22,2.7
CUST0073,53,Female,65704,81,10,655.82,6558.2,70,33,Electronics,Aurangabad,Silver,13,8.0
CUST0074,31,Male,48425,75,12,1518.82,18225.84,100,13,Grocery,Kolhapur,Basic,38,8.3
CUST0075,48,Male,75119,36,11,1259.61,13855.71,50,35,Grocery,Pune,Basic,64,8.9
CUST0076,65,Male,50090,41,8,1292.77,10342.16,24,1,Grocery,Pune,Gold,30,7.1
CUST0077,32,Female,109295,57,6,1192.45,7154.7,64,40,Sports,Nashik,Platinum,20,8.2
CUST0078,25,Male,68004,54,6,1154.67,6928.02,94,20,Sports,Mumbai,Gold,2,8.7
CUST0079,31,Female,56963,59,7,1133.58,7935.06,57,50,Electronics,Nagpur,Basic,32,9.4
CUST0080,40,Male,69063,40,17,1523.68,25902.56,35,93,Fashion,Pune,Basic,39,6.7
CUST0081,57,Female,35363,34,9,978.46,8806.14,76,98,Grocery,Pune,Basic,29,7.6
CUST0082,38,Female,43624,37,4,1753.67,7014.68,70,72,Fashion,Nagpur,Basic,10,9.7
CUST0083,33,Male,91409,80,17,1573.49,26749.33,32,22,Beauty,Pune,Silver,12,4.0
CUST0084,62,Female,50548,59,9,854.94,7694.46,63,13,Grocery,Kolhapur,Silver,47,6.2
CUST0085,35,Female,41968,41,9,1101.34,9912.06,77,19,Grocery,Pune,Gold,47,9.4
CUST0086,64,Male,76806,73,13,1176.92,15299.96,81,35,Beauty,Pune,Gold,12,8.8
CUST0087,41,Male,91085,66,11,728.94,8018.34,54,65,Beauty,Aurangabad,Basic,45,8.0
CUST0088,43,Male,80817,66,8,1836.29,14690.32,47,7,Electronics,Mumbai,Basic,17,6.5
CUST0089,42,Male,86913,100,12,1721.68,20660.16,82,75,Home & Lifestyle,Nagpur,Gold,46,5.9
CUST0090,62,Male,48351,81,17,1479.02,25143.34,28,51,Grocery,Pune,Basic,39,6.3
CUST0091,58,Female,33720,27,4,1108.78,4435.12,65,136,Fashion,Nashik,Basic,49,9.5
CUST0092,46,Female,98029,94,13,1105.48,14371.24,25,64,Electronics,Nagpur,Basic,9,6.3
CUST0093,32,Female,57901,76,12,1182.62,14191.44,78,10,Grocery,Mumbai,Basic,45,7.4
CUST0094,62,Male,59482,41,7,1444.98,10114.86,49,3,Fashion,Kolhapur,Basic,35,6.1
CUST0095,18,Male,94220,92,13,1185.29,15408.77,93,4,Fashion,Nashik,Gold,38,8.5
CUST0096,42,Female,77237,97,14,710.18,9942.52,66,10,Home & Lifestyle,Mumbai,Gold,39,6.4
CUST0097,24,Female,75030,49,14,1202.96,16841.44,38,29,Home & Lifestyle,Nashik,Basic,36,7.1
CUST0098,26,Male,112630,69,12,1421.36,17056.32,96,49,Fashion,Nashik,Basic,26,4.7
CUST0099,41,Female,50843,76,14,1347.2,18860.8,89,69,Electronics,Pune,Gold,37,4.8
CUST0100,18,Male,85412,78,14,1636.79,22915.06,84,29,Beauty,Mumbai,Basic,34,7.2
CUST0101,61,Male,66254,75,17,1540.04,26180.68,38,1,Electronics,Mumbai,Silver,12,5.2
CUST0102,25,Male,70909,73,11,1432.36,15755.96,58,6,Sports,Mumbai,Basic,21,10.0
CUST0103,41,Female,98626,86,12,1848.54,22182.48,58,3,Home & Lifestyle,Nagpur,Basic,13,4.1
CUST0104,28,Male,76172,45,12,802.83,9633.96,50,14,Fashion,Mumbai,Gold,17,6.0
CUST0105,34,Male,76843,88,14,1583.9,22174.6,92,21,Fashion,Aurangabad,Gold,42,7.2
CUST0106,25,Male,88595,96,16,1687.75,27004.0,68,1,Electronics,Mumbai,Basic,38,6.7
CUST0107,52,Male,56971,57,6,877.04,5262.24,5,13,Fashion,Mumbai,Basic,27,5.5
CUST0108,52,Male,46537,55,10,758.75,7587.5,62,6,Electronics,Kolhapur,Basic,47,5.8
CUST0109,50,Male,42014,26,7,856.26,5993.82,47,51,Grocery,Nashik,Basic,23,5.7
CUST0110,22,Female,21740,54,13,932.76,12125.88,63,19,Electronics,Nashik,Platinum,26,7.5
CUST0111,59,Male,110237,95,12,1786.74,21440.88,47,21,Grocery,Pune,Silver,22,10.0
CUST0112,56,Male,40729,52,11,995.83,10954.13,73,17,Grocery,Mumbai,Silver,37,7.3
CUST0113,58,Female,60132,82,17,1101.49,18725.33,80,94,Fashion,Pune,Gold,1,9.0
CUST0114,45,Male,58910,55,10,1063.24,10632.4,61,7,Electronics,Aurangabad,Gold,12,8.0
CUST0115,24,Male,71763,77,13,1708.88,22215.44,58,22,Electronics,Mumbai,Gold,0,8.9
CUST0116,26,Male,82946,54,11,1318.75,14506.25,64,40,Electronics,Aurangabad,Basic,31,3.0
CUST0117,25,Female,83930,72,13,1336.01,17368.13,65,24,Home & Lifestyle,Nagpur,Basic,53,6.7
CUST0118,29,Female,52172,55,10,1193.51,11935.1,47,79,Fashion,Mumbai,Silver,17,9.2
CUST0119,51,Other,61323,67,12,1689.59,20275.08,68,14,Beauty,Nashik,Basic,27,6.3
CUST0120,50,Male,71217,60,6,1078.9,6473.4,65,19,Grocery,Kolhapur,Platinum,38,10.0
CUST0121,65,Female,59529,59,5,1659.24,8296.2,89,3,Grocery,Aurangabad,Silver,41,9.4
CUST0122,40,Male,100362,95,15,1594.23,23913.45,83,28,Grocery,Pune,Platinum,24,7.2
CUST0123,41,Male,75801,61,10,1273.28,12732.8,40,10,Home & Lifestyle,Mumbai,Basic,45,6.4
CUST0124,54,Male,81167,43,7,2015.77,14110.39,73,5,Fashion,Mumbai,Gold,9,5.7
CUST0125,52,Male,79583,100,19,1172.06,22269.14,34,24,Electronics,Pune,Basic,56,6.3
CUST0126,61,Female,90816,100,18,1416.34,25494.12,70,23,Grocery,Nashik,Platinum,57,6.1
CUST0127,57,Female,68982,43,11,859.22,9451.42,44,2,Fashion,Kolhapur,Basic,43,7.8
CUST0128,39,Female,36470,64,8,1501.15,12009.2,32,36,Grocery,Mumbai,Silver,0,5.0
CUST0129,44,Male,73793,59,7,1814.14,12698.98,61,29,Home & Lifestyle,Nagpur,Gold,17,8.1
CUST0130,52,Female,50670,63,10,1754.99,17549.9,5,6,Grocery,Nashik,Silver,34,8.1
CUST0131,18,Female,53370,64,9,1633.29,14699.61,26,19,Home & Lifestyle,Mumbai,Silver,19,4.7
CUST0132,52,Female,77900,66,5,1288.41,6442.05,51,38,Grocery,Pune,Platinum,44,10.0
CUST0133,54,Male,92242,62,6,1265.15,7590.9,57,23,Home & Lifestyle,Nagpur,Silver,34,8.0
CUST0134,64,Male,65468,52,7,753.05,5271.35,47,15,Home & Lifestyle,Kolhapur,Silver,14,8.3
CUST0135,31,Female,71794,51,9,1880.14,16921.26,20,12,Grocery,Nagpur,Basic,35,6.1
CUST0136,20,Female,102449,66,16,1562.04,24992.64,47,28,Home & Lifestyle,Pune,Gold,12,8.1
CUST0137,18,Male,70297,65,10,1173.3,11733.0,74,84,Beauty,Pune,Silver,22,8.9
CUST0138,22,Female,122237,77,17,1923.13,32693.21,78,33,Grocery,Pune,Silver,17,7.1
CUST0139,43,Female,77441,82,17,1118.49,19014.33,55,2,Grocery,Nashik,Basic,53,10.0
CUST0140,31,Female,26263,74,19,1346.78,25588.82,80,19,Home & Lifestyle,Nagpur,Silver,57,7.3
CUST0141,56,Female,81574,61,7,1286.93,9008.51,64,66,Grocery,Pune,Basic,14,8.9
CUST0142,44,Female,73385,72,15,1549.76,23246.4,39,3,Electronics,Kolhapur,Basic,6,7.6
CUST0143,26,Male,93375,86,12,1455.05,17460.6,59,135,Beauty,Nashik,Silver,21,8.1
CUST0144,32,Female,79810,79,18,970.15,17462.7,24,89,Electronics,Nagpur,Basic,12,4.7
CUST0145,32,Male,61954,64,9,1314.53,11830.77,53,2,Home & Lifestyle,Aurangabad,Basic,36,7.8
CUST0146,43,Female,38065,65,16,1538.85,24621.6,79,81,Home & Lifestyle,Pune,Silver,36,6.1
CUST0147,59,Male,60401,71,14,1306.44,18290.16,70,14,Sports,Aurangabad,Basic,57,5.9
CUST0148,30,Male,46289,34,12,1357.4,16288.8,86,76,Electronics,Pune,Basic,38,9.8
CUST0149,49,Female,52228,74,16,989.03,15824.48,48,16,Grocery,Mumbai,Basic,32,6.9
CUST0150,56,Male,77949,86,15,1419.97,21299.55,85,17,Grocery,Kolhapur,Silver,0,5.7
CUST0151,49,Female,101738,67,9,1235.86,11122.74,51,30,Fashion,Aurangabad,Silver,25,6.7
CUST0152,21,Male,73683,69,12,1571.14,18853.68,97,45,Electronics,Mumbai,Gold,26,5.2
CUST0153,47,Female,38691,65,9,1235.52,11119.68,55,1,Grocery,Nashik,Basic,45,9.4
CUST0154,54,Female,74781,65,7,1541.37,10789.59,71,27,Grocery,Nagpur,Basic,24,6.2
CUST0155,40,Female,91326,95,20,1830.29,36605.8,87,6,Electronics,Kolhapur,Basic,28,8.0
CUST0156,56,Other,51585,100,19,1612.24,30632.56,51,13,Grocery,Pune,Silver,3,9.2
CUST0157,62,Male,62052,49,17,1314.09,22339.53,60,13,Home & Lifestyle,Kolhapur,Platinum,0,7.1
CUST0158,32,Male,65323,40,8,906.51,7252.08,83,19,Home & Lifestyle,Mumbai,Basic,18,8.0
CUST0159,60,Female,47732,62,10,1240.36,12403.6,52,12,Sports,Mumbai,Basic,11,5.7
CUST0160,46,Male,79262,84,12,1263.86,15166.32,26,3,Grocery,Mumbai,Basic,40,10.0
CUST0161,53,Female,62339,59,8,1169.8,9358.4,100,5,Sports,Mumbai,Silver,17,8.6
CUST0162,30,Male,74230,95,11,1340.33,14743.63,45,1,Beauty,Aurangabad,Silver,17,6.9
CUST0163,49,Female,45475,31,8,816.45,6531.6,58,39,Fashion,Nashik,Silver,10,6.0
CUST0164,24,Female,55376,72,16,716.93,11470.88,90,93,Electronics,Aurangabad,Gold,0,7.0
CUST0165,39,Female,80892,60,6,1132.23,6793.38,42,4,Grocery,Pune,Silver,48,6.7
CUST0166,45,Female,56798,92,13,1446.41,18803.33,33,88,Grocery,Nagpur,Basic,20,10.0
CUST0167,19,Male,102993,100,22,1154.53,25399.66,71,40,Grocery,Kolhapur,Basic,29,5.4
CUST0168,59,Female,56208,46,14,1207.33,16902.62,16,30,Grocery,Nagpur,Silver,3,7.4
CUST0169,62,Male,69943,57,12,1857.91,22294.92,49,31,Home & Lifestyle,Nashik,Silver,40,7.2
CUST0170,23,Female,85517,89,17,1769.47,30080.99,70,53,Grocery,Nashik,Silver,27,7.0
CUST0171,45,Male,33796,43,14,1616.45,22630.3,49,3,Electronics,Kolhapur,Gold,13,7.0
CUST0172,45,Female,26262,46,10,1230.12,12301.2,21,21,Beauty,Kolhapur,Silver,19,7.0
CUST0173,61,Female,31436,50,9,1494.56,13451.04,90,36,Fashion,Pune,Gold,50,8.5
CUST0174,61,Male,92777,42,14,1079.14,15107.96,57,27,Sports,Kolhapur,Silver,24,8.1
CUST0175,37,Female,52859,59,7,1051.27,7358.89,86,54,Electronics,Mumbai,Gold,22,7.8
CUST0176,47,Female,121280,77,15,700.1,10501.5,49,2,Sports,Pune,Basic,21,2.6
CUST0177,28,Male,52587,50,10,1563.6,15636.0,46,35,Electronics,Kolhapur,Silver,0,7.6
CUST0178,45,Male,69060,92,17,1887.28,32083.76,61,23,Fashion,Mumbai,Platinum,23,5.4
CUST0179,42,Female,98926,57,9,1208.82,10879.38,50,14,Electronics,Kolhapur,Silver,30,8.2
CUST0180,56,Female,109134,99,17,1497.22,25452.74,29,12,Home & Lifestyle,Pune,Gold,41,9.4
CUST0181,50,Male,110353,80,14,1274.9,17848.6,87,29,Beauty,Pune,Gold,0,5.8
CUST0182,18,Female,91584,71,17,1523.55,25900.35,51,66,Grocery,Mumbai,Basic,18,6.8
CUST0183,44,Female,87529,89,13,1806.07,23478.91,15,21,Sports,Pune,Silver,16,6.3
CUST0184,30,Female,78036,76,21,865.28,18170.88,84,52,Grocery,Nagpur,Basic,35,9.1
CUST0185,58,Male,82124,82,18,1547.2,27849.6,44,15,Home & Lifestyle,Pune,Platinum,23,8.0
CUST0186,20,Male,52874,76,11,1229.62,13525.82,52,3,Beauty,Mumbai,Gold,23,9.8
CUST0187,56,Female,47000,50,9,1225.02,11025.18,16,2,Fashion,Pune,Basic,41,7.8
CUST0188,23,Female,64926,53,8,1394.48,11155.84,100,2,Fashion,Mumbai,Basic,21,7.6
CUST0189,25,Female,61256,43,9,1149.31,10343.79,37,14,Sports,Kolhapur,Silver,39,7.3
CUST0190,44,Male,55029,45,10,1164.01,11640.1,56,12,Sports,Pune,Basic,42,8.4
CUST0191,26,Female,80321,100,12,1426.8,17121.6,85,38,Sports,Nashik,Basic,30,4.6
CUST0192,54,Female,86017,96,17,1783.15,30313.55,64,41,Sports,Aurangabad,Silver,49,7.3
CUST0193,50,Male,66945,41,9,1340.46,12064.14,54,2,Electronics,Nagpur,Silver,48,7.1
CUST0194,59,Female,97506,55,13,1428.69,18572.97,18,7,Beauty,Kolhapur,Basic,49,8.3
CUST0195,61,Male,39883,62,13,836.36,10872.68,37,10,Grocery,Pune,Gold,0,6.9
CUST0196,41,Female,60739,72,14,1206.64,16892.96,59,24,Sports,Pune,Platinum,49,6.3
CUST0197,32,Female,49230,67,7,1535.29,10747.03,38,5,Grocery,Aurangabad,Gold,37,7.2
CUST0198,49,Female,23936,41,10,1097.12,10971.2,59,4,Grocery,Nagpur,Gold,55,5.6
CUST0199,49,Male,63181,61,9,1481.4,13332.6,70,86,Grocery,Nashik,Basic,54,4.3
CUST0200,41,Male,62322,69,8,1842.92,14743.36,76,49,Fashion,Nagpur,Basic,59,8.3
CUST0201,58,Male,98296,81,12,1780.47,21365.64,28,6,Electronics,Mumbai,Basic,48,8.1
CUST0202,29,Female,78878,31,7,1238.58,8670.06,100,36,Beauty,Pune,Gold,45,7.9
CUST0203,56,Male,42468,50,12,1024.11,12289.32,72,13,Beauty,Kolhapur,Platinum,55,9.9
CUST0204,19,Female,105790,67,6,669.31,4015.86,65,47,Electronics,Nagpur,Gold,28,6.2
CUST0205,20,Female,91863,79,14,1391.07,19474.98,89,21,Home & Lifestyle,Mumbai,Gold,1,5.1
CUST0206,54,Male,77806,100,15,1385.61,20784.15,100,4,Home & Lifestyle,Aurangabad,Silver,20,7.1
CUST0207,34,Female,60017,69,9,1423.16,12808.44,23,40,Grocery,Mumbai,Silver,31,6.7
CUST0208,19,Female,43892,49,12,1131.5,13578.0,60,15,Fashion,Mumbai,Silver,26,5.9
CUST0209,19,Female,56811,77,12,1232.32,14787.84,13,9,Beauty,Aurangabad,Basic,16,7.1
CUST0210,45,Female,88952,84,12,919.04,11028.48,59,14,Home & Lifestyle,Kolhapur,Basic,11,6.3
CUST0211,40,Female,106461,90,14,1247.39,17463.46,63,21,Grocery,Mumbai,Gold,14,4.4
CUST0212,54,Male,98951,90,13,1649.85,21448.05,54,13,Grocery,Pune,Silver,37,6.5
CUST0213,49,Female,54245,96,17,1911.51,32495.67,41,8,Electronics,Pune,Silver,49,5.5
CUST0214,50,Male,40368,33,13,1073.85,13960.05,10,35,Grocery,Nagpur,Silver,39,7.5
CUST0215,18,Male,68099,74,19,1448.64,27524.16,73,1,Fashion,Mumbai,Basic,51,6.2
CUST0216,36,Female,26094,30,12,1334.03,16008.36,87,64,Fashion,Kolhapur,Silver,24,8.9
CUST0217,19,Female,72110,77,13,1131.06,14703.78,52,6,Home & Lifestyle,Aurangabad,Silver,0,9.6
CUST0218,61,Female,61753,46,7,1329.3,9305.1,65,1,Sports,Kolhapur,Silver,18,8.2
CUST0219,43,Male,54747,52,4,1000.09,4000.36,21,32,Grocery,Mumbai,Gold,21,4.9
CUST0220,49,Female,29917,43,10,1371.2,13712.0,65,45,Fashion,Kolhapur,Silver,18,9.5
CUST0221,23,Male,76299,87,14,1472.32,20612.48,56,50,Home & Lifestyle,Mumbai,Silver,26,9.6
CUST0222,49,Female,53281,76,15,1403.38,21050.7,38,20,Beauty,Pune,Gold,32,7.2
CUST0223,21,Male,39262,30,4,853.01,3412.04,48,27,Home & Lifestyle,Pune,Gold,38,9.2
CUST0224,28,Female,18000,44,8,1292.11,10336.88,56,40,Beauty,Mumbai,Gold,21,6.4
CUST0225,34,Female,64395,51,6,1872.6,11235.6,63,36,Grocery,Aurangabad,Basic,6,4.4
CUST0226,55,Male,103990,59,6,1095.6,6573.6,26,8,Home & Lifestyle,Pune,Basic,28,6.1
CUST0227,41,Male,101548,77,20,1360.72,27214.4,46,70,Electronics,Pune,Basic,36,9.8
CUST0228,22,Female,54944,54,13,1300.31,16904.03,64,3,Fashion,Aurangabad,Basic,53,5.0
CUST0229,51,Male,51751,100,20,1641.17,32823.4,31,122,Fashion,Pune,Platinum,16,7.9
CUST0230,23,Female,75313,77,13,1216.08,15809.04,100,59,Grocery,Kolhapur,Silver,33,7.3
CUST0231,39,Male,43036,30,9,249.2,2242.8,36,55,Sports,Mumbai,Basic,39,6.4
CUST0232,28,Male,71639,57,10,1700.67,17006.7,50,84,Beauty,Pune,Basic,36,6.5
CUST0233,65,Female,81854,90,17,1683.71,28623.07,33,38,Electronics,Aurangabad,Basic,49,7.3
CUST0234,33,Female,91993,100,13,1003.09,13040.17,95,6,Electronics,Pune,Silver,15,6.4
CUST0235,50,Female,62797,35,11,996.12,10957.32,67,18,Fashion,Nashik,Gold,16,5.1
CUST0236,26,Male,60519,28,10,1614.01,16140.1,44,22,Fashion,Pune,Gold,25,7.5
CUST0237,23,Male,45684,89,14,1777.39,24883.46,89,15,Grocery,Pune,Platinum,15,9.5
CUST0238,33,Female,46809,63,8,1524.02,12192.16,59,41,Sports,Pune,Basic,43,8.5
CUST0239,46,Female,60017,46,6,1161.22,6967.32,61,15,Sports,Pune,Basic,24,6.0
CUST0240,20,Male,73082,78,22,1406.14,30935.08,57,12,Home & Lifestyle,Pune,Basic,38,5.3
CUST0241,37,Other,85099,26,13,1170.02,15210.26,39,47,Beauty,Nagpur,Basic,33,6.8
CUST0242,53,Male,47330,56,13,1554.46,20207.98,62,62,Grocery,Mumbai,Platinum,28,10.0
CUST0243,36,Female,97839,85,16,1220.76,19532.16,43,1,Fashion,Mumbai,Silver,18,8.2
CUST0244,43,Female,59035,78,16,1097.37,17557.92,95,15,Grocery,Mumbai,Gold,20,8.3
CUST0245,20,Female,64530,46,4,1530.67,6122.68,37,5,Grocery,Aurangabad,Silver,26,8.5
CUST0246,36,Male,48561,58,8,1214.37,9714.96,89,36,Home & Lifestyle,Aurangabad,Basic,38,7.8
CUST0247,37,Female,18000,26,9,1421.54,12793.86,53,23,Fashion,Nagpur,Basic,35,7.4
CUST0248,49,Male,84449,78,16,1213.89,19422.24,62,33,Fashion,Aurangabad,Silver,51,8.2
CUST0249,24,Female,81211,55,9,1297.2,11674.8,83,10,Fashion,Mumbai,Gold,10,6.4
CUST0250,58,Male,58811,54,7,965.71,6759.97,41,7,Sports,Mumbai,Basic,34,5.1
CUST0251,50,Male,66474,47,8,1239.63,9917.04,74,83,Grocery,Nashik,Gold,1,8.3
CUST0252,57,Male,76351,81,16,959.49,15351.84,5,1,Home & Lifestyle,Nashik,Gold,31,9.1
CUST0253,56,Female,30624,64,9,1051.58,9464.22,39,17,Home & Lifestyle,Mumbai,Silver,8,5.5
CUST0254,35,Female,53361,55,7,799.21,5594.47,35,1,Fashion,Mumbai,Gold,21,8.4
CUST0255,57,Female,82474,73,18,1597.6,28756.8,27,20,Grocery,Aurangabad,Silver,19,9.7
CUST0256,18,Male,37406,26,8,1281.19,10249.52,60,41,Beauty,Kolhapur,Silver,29,7.2
CUST0257,28,Male,71458,62,8,793.3,6346.4,73,12,Grocery,Mumbai,Gold,17,6.0
CUST0258,45,Male,35155,50,11,1555.63,17111.93,70,4,Sports,Nagpur,Platinum,16,8.1
