Date,Customers,Quantity,Average_Price,Promotion,Sales,Profit
2018-02-16,188.0,103,429.03,1,213.32,39.69
2018-02-17,211.0,103,424.71,1,234.96,40.89
2018-02-18,201.0,90,429.2,1,194.52,32.26
2018-02-19,169.0,98,428.79,0,224.71,35.35
2018-02-20,201.0,85,389.11,1,214.95,38.16
2018-02-21,190.0,94,432.48,0,215.91,28.4
2018-02-22,186.0,110,408.96,0,214.45,36.27
2018-02-23,206.0,99,401.33,0,225.0,33.54
2018-02-24,212.0,99,401.2,0,174.38,27.2
2018-02-25,211.0,84,428.9,0,205.49,32.2
2018-02-26,185.0,110,417.11,0,172.47,27.56
2018-02-27,193.0,106,390.86,0,212.03,34.39
2018-02-28,203.0,84,429.76,0,194.28,27.28
2018-03-01,213.0,88,395.27,0,183.19,30.17
2018-03-02,191.0,105,423.72,0,201.73,31.24
2018-03-03,195.0,111,425.51,0,201.39,35.5
2018-03-04,182.0,80,437.18,0,198.16,34.13
2018-03-05,181.0,83,453.33,0,208.06,37.42
2018-03-06,211.0,92,396.72,0,230.77,33.68
2018-03-07,219.0,72,420.36,0,207.1,37.13
2018-03-08,198.0,94,416.35,0,223.63,36.1
2018-03-09,214.0,105,429.15,0,235.77,40.16
2018-03-10,205.0,79,425.24,0,221.32,37.65
2018-03-11,190.0,95,415.03,0,240.31,40.1
2018-03-12,205.0,98,413.46,1,273.17,46.08
2018-03-13,223.0,110,401.32,0,249.41,43.48
2018-03-14,199.0,98,439.22,1,261.42,49.74
2018-03-15,224.0,109,429.73,0,246.96,34.06
2018-03-16,161.0,88,438.0,0,214.98,32.84
2018-03-17,213.0,112,415.91,1,259.6,43.3
2018-03-18,202.0,97,409.7,0,194.36,26.94
2018-03-19,196.0,93,402.13,0,178.28,30.81
2018-03-20,202.0,86,428.02,0,193.19,26.62
2018-03-21,171.0,97,402.86,0,240.76,33.75
2018-03-22,198.0,90,454.88,0,204.68,38.82
2018-03-23,206.0,87,398.08,0,213.92,32.79
2018-03-24,223.0,119,426.57,1,224.18,43.68
2018-03-25,193.0,110,449.86,1,232.6,46.96
2018-03-26,189.0,101,432.46,0,212.23,36.42
2018-03-27,194.0,101,424.86,1,228.66,42.82
2018-03-28,215.0,93,404.29,0,224.43,35.78
2018-03-29,206.0,92,396.87,0,203.08,34.13
2018-03-30,193.0,98,435.62,0,223.23,34.96
2018-03-31,209.0,101,,0,206.21,35.14
2018-04-01,203.0,94,413.9,0,206.62,32.26
2018-04-02,216.0,97,401.32,1,228.39,41.75
2018-04-03,191.0,102,377.59,0,224.82,42.32
2018-04-04,196.0,95,404.21,0,218.78,33.43
2018-04-05,196.0,80,419.83,0,248.25,39.79
2018-04-06,179.0,83,450.68,1,211.73,40.54
2018-04-07,206.0,98,434.04,0,245.19,41.05
2018-04-08,205.0,86,427.43,0,188.47,30.98
2018-04-09,201.0,109,414.76,1,274.84,45.69
2018-04-10,198.0,87,411.48,0,219.31,35.62
2018-04-11,180.0,96,447.3,0,248.87,40.73
2018-04-12,195.0,101,425.63,1,256.12,51.76
2018-04-13,196.0,112,384.19,0,215.34,36.84
2018-04-14,189.0,114,409.94,1,275.06,55.86
2018-04-15,199.0,108,406.63,0,241.33,34.98
2018-04-16,207.0,95,412.27,0,240.05,34.82
2018-04-17,229.0,103,432.25,0,220.29,36.33
2018-04-18,203.0,96,420.21,0,239.84,42.45
2018-04-19,205.0,109,420.78,0,200.88,31.54
2018-04-20,200.0,94,445.82,0,171.66,25.56
2018-04-21,172.0,81,409.66,0,161.08,21.9
2018-04-22,200.0,85,455.78,1,194.77,37.09
2018-04-23,201.0,111,410.16,0,202.15,32.0
2018-04-24,237.0,99,423.87,0,206.26,31.66
2018-04-25,197.0,100,417.22,0,202.2,35.1
2018-04-26,205.0,109,424.52,0,202.04,32.06
2018-04-27,199.0,78,430.32,0,158.69,25.39
2018-04-28,182.0,91,430.15,0,197.89,34.33
2018-04-29,217.0,102,408.8,1,217.64,47.42
2018-04-30,211.0,102,402.17,0,204.47,31.35
2018-05-01,211.0,87,467.46,0,242.12,35.56
2018-05-02,186.0,82,413.71,0,206.8,30.02
2018-05-03,220.0,82,435.03,0,219.72,36.73
2018-05-04,178.0,106,393.52,0,243.01,34.91
2018-05-05,208.0,97,417.45,1,205.45,36.86
2018-05-06,231.0,88,420.21,0,217.83,33.92
2018-05-07,184.0,100,431.03,0,247.81,45.43
2018-05-08,190.0,87,373.54,0,226.42,40.28
2018-05-09,200.0,87,425.55,1,222.23,35.99
2018-05-10,190.0,78,401.88,0,215.62,39.62
2018-05-11,174.0,93,428.44,0,233.46,33.09
2018-05-12,199.0,99,403.97,0,180.19,29.26
2018-05-13,181.0,91,407.24,0,187.85,27.7
2018-05-14,204.0,98,417.73,0,270.07,41.64
2018-05-15,183.0,77,403.74,0,225.63,32.78
2018-05-16,220.0,88,414.14,1,269.93,56.72
2018-05-17,185.0,116,401.24,0,244.66,38.63
2018-05-18,191.0,105,389.74,0,227.52,37.17
2018-05-19,208.0,101,441.08,0,198.23,28.53
2018-05-20,177.0,86,399.45,0,198.22,27.51
2018-05-21,199.0,90,419.58,0,232.95,35.72
2018-05-22,215.0,93,436.37,0,221.0,37.09
2018-05-23,171.0,116,411.77,1,228.64,41.88
2018-05-24,198.0,97,408.01,0,196.82,34.37
2018-05-25,198.0,98,426.95,0,209.56,33.92
2018-05-26,206.0,101,443.02,1,196.76,36.42
2018-05-27,175.0,100,401.87,0,195.33,32.82
2018-05-28,174.0,95,420.24,0,181.77,29.36
2018-05-29,201.0,93,391.78,0,192.27,33.49
2018-05-30,198.0,85,415.9,0,176.6,29.73
2018-05-31,197.0,101,423.62,1,215.59,42.83
2018-06-01,198.0,81,407.64,0,186.26,31.8
2018-06-02,182.0,91,414.81,0,226.93,40.94
2018-06-03,196.0,103,397.71,1,202.88,40.06
2018-06-04,196.0,68,424.47,0,209.2,38.96
2018-06-05,181.0,89,442.1,0,192.47,29.23
2018-06-06,219.0,80,403.37,0,214.75,37.05
2018-06-07,198.0,96,411.93,0,225.73,31.44
2018-06-08,173.0,98,432.21,0,181.72,31.66
2018-06-09,200.0,87,445.0,0,177.39,28.53
2018-06-10,175.0,96,396.32,0,186.98,32.54
2018-06-11,201.0,97,420.18,0,194.61,36.04
2018-06-12,207.0,88,428.34,0,217.44,37.4
2018-06-13,177.0,106,421.42,0,222.95,34.29
2018-06-14,203.0,83,378.7,0,186.94,26.86
2018-06-15,195.0,105,432.32,0,216.54,36.39
2018-06-16,200.0,88,450.67,0,183.14,28.52
2018-06-17,216.0,82,425.44,0,185.27,31.49
2018-06-18,184.0,87,404.8,0,181.46,27.65
2018-06-19,176.0,79,414.14,0,195.66,28.58
2018-06-20,174.0,98,455.26,0,223.55,34.96
2018-06-21,174.0,74,439.8,0,192.5,32.25
2018-06-22,185.0,103,434.96,0,216.64,35.06
2018-06-23,191.0,90,429.88,1,159.48,27.56
2018-06-24,190.0,98,411.58,0,157.99,29.55
2018-06-25,198.0,89,419.89,0,190.82,30.13
2018-06-26,185.0,92,422.12,0,209.21,26.38
2018-06-27,206.0,83,433.43,0,190.88,33.21
2018-06-28,180.0,102,450.72,1,181.72,33.59
2018-06-29,225.0,100,443.71,1,199.51,36.4
2018-06-30,193.0,74,398.05,0,171.23,26.91
2018-07-01,170.0,89,427.65,1,185.49,33.8
2018-07-02,167.0,83,436.9,0,166.19,30.75
2018-07-03,190.0,81,434.8,0,180.74,30.18
2018-07-04,179.0,101,412.35,0,196.41,32.19
2018-07-05,193.0,88,476.15,0,173.13,27.02
2018-07-06,189.0,90,400.73,1,234.94,49.56
2018-07-07,180.0,83,404.24,0,173.82,30.01
2018-07-08,168.0,83,427.96,0,180.82,31.61
2018-07-09,158.0,85,461.88,0,215.2,35.33
2018-07-10,174.0,77,408.75,0,190.23,33.29
2018-07-11,193.0,79,419.04,0,214.8,35.63
2018-07-12,183.0,95,443.23,0,179.26,27.68
2018-07-13,161.0,89,423.54,0,201.22,33.31
2018-07-14,182.0,85,417.86,0,195.59,37.45
2018-07-15,184.0,87,434.08,0,160.41,26.16
2018-07-16,165.0,86,428.83,0,179.43,32.13
2018-07-17,180.0,84,442.49,0,177.22,31.52
2018-07-18,179.0,92,447.21,0,184.42,31.06
2018-07-19,160.0,91,429.51,0,183.38,33.9
2018-07-20,182.0,71,429.25,0,145.85,18.58
2018-07-21,185.0,85,427.87,0,154.35,20.44
2018-07-22,193.0,71,432.84,0,179.24,33.32
2018-07-23,192.0,92,425.05,0,187.51,28.18
2018-07-24,155.0,93,424.07,0,176.57,28.55
2018-07-25,161.0,90,445.64,1,173.07,36.56
2018-07-26,183.0,84,451.41,0,200.94,32.75
2018-07-27,183.0,74,397.0,1,192.59,40.51
2018-07-28,182.0,95,424.34,0,152.82,23.56
2018-07-29,232.0,92,411.78,0,162.43,27.49
2018-07-30,183.0,97,418.6,0,159.0,25.58
2018-07-31,191.0,110,431.47,1,203.01,42.1
2018-08-01,188.0,73,436.29,0,174.43,27.22
2018-08-02,183.0,94,422.24,0,188.05,27.37
2018-08-03,168.0,100,389.84,0,173.88,26.6
2018-08-04,184.0,70,406.93,0,126.92,19.5
2018-08-05,161.0,93,440.46,1,189.06,33.14
2018-08-06,169.0,91,375.01,1,212.3,37.08
2018-08-07,165.0,93,445.73,0,162.45,28.73
2018-08-08,173.0,60,433.76,0,167.21,30.28
2018-08-09,206.0,112,448.09,1,241.51,46.1
2018-08-10,143.0,83,420.85,0,151.68,22.8
2018-08-11,181.0,93,387.33,0,166.18,25.13
2018-08-12,146.0,93,432.21,1,213.84,32.91
2018-08-13,163.0,89,447.42,0,179.38,29.72
2018-08-14,186.0,61,441.14,0,153.26,22.95
2018-08-15,171.0,80,412.59,0,167.39,30.48
2018-08-16,153.0,92,426.1,0,184.0,25.64
2018-08-17,159.0,86,414.97,0,157.99,23.87
2018-08-18,179.0,67,409.83,0,152.38,24.16
2018-08-19,158.0,84,441.8,0,146.88,24.53
2018-08-20,172.0,75,403.06,0,155.0,28.99
2018-08-21,169.0,84,408.55,1,180.78,29.73
2018-08-22,158.0,68,404.79,0,132.77,20.64
2018-08-23,200.0,89,397.86,0,132.44,18.35
2018-08-24,177.0,94,427.34,0,159.08,27.34
2018-08-25,137.0,104,445.63,0,134.05,20.15
2018-08-26,170.0,68,421.41,0,115.54,18.31
2018-08-27,157.0,90,397.66,0,156.05,24.56
2018-08-28,180.0,91,439.9,0,175.54,28.39
2018-08-29,155.0,77,455.14,0,139.39,21.98
2018-08-30,165.0,73,413.19,0,144.27,20.98
2018-08-31,174.0,72,416.23,0,123.64,19.94
2018-09-01,179.0,77,434.14,0,136.41,20.2
2018-09-02,148.0,84,454.07,0,147.55,25.41
2018-09-03,161.0,96,415.54,0,164.45,26.45
2018-09-04,159.0,103,400.94,1,181.11,30.68
2018-09-05,156.0,66,436.31,0,170.14,33.36
2018-09-06,192.0,74,439.34,0,166.58,30.8
2018-09-07,172.0,95,425.09,0,225.63,44.37
2018-09-08,147.0,75,414.95,0,154.81,23.97
2018-09-09,179.0,82,442.92,0,102.92,15.18
2018-09-10,197.0,75,434.54,1,164.19,32.36
2018-09-11,181.0,94,411.23,0,184.66,32.61
2018-09-12,142.0,73,425.96,1,163.4,30.71
2018-09-13,158.0,66,400.77,0,143.26,18.4
2018-09-14,184.0,92,437.47,0,142.35,20.68
2018-09-15,154.0,101,420.42,0,143.14,23.81
2018-09-16,171.0,79,417.32,0,145.57,21.85
2018-09-17,176.0,81,424.59,0,159.7,22.28
2018-09-18,151.0,91,425.93,0,129.92,20.29
2018-09-19,164.0,95,441.33,1,184.79,25.19
2018-09-20,116.0,88,435.88,1,133.25,23.45
2018-09-21,149.0,87,422.44,1,167.06,29.84
2018-09-22,160.0,66,439.03,0,125.12,20.6
2018-09-23,145.0,84,432.51,0,104.78,17.63
2018-09-24,189.0,81,417.64,0,117.74,19.51
2018-09-25,143.0,77,423.1,0,139.18,24.14
2018-09-26,158.0,72,422.69,0,120.59,18.99
2018-09-27,166.0,73,434.47,0,130.69,18.06
2018-09-28,186.0,88,418.79,0,159.26,25.59
2018-09-29,143.0,101,418.39,1,164.12,28.21
2018-09-30,182.0,89,460.88,1,138.21,22.76
2018-10-01,164.0,78,442.38,0,145.32,24.51
2018-10-02,149.0,83,411.79,1,149.25,24.45
2018-10-03,171.0,91,435.78,0,176.69,30.07
2018-10-04,167.0,82,427.65,0,188.48,26.5
2018-10-05,155.0,96,432.59,1,166.45,30.07
2018-10-06,165.0,86,428.03,0,151.8,23.0
2018-10-07,158.0,89,446.99,1,191.2,38.63
2018-10-08,166.0,70,431.82,0,161.11,27.21
2018-10-09,174.0,82,424.5,1,197.0,34.01
2018-10-10,188.0,103,444.4,1,198.09,36.18
2018-10-11,146.0,75,429.86,0,139.81,25.16
2018-10-12,197.0,78,427.87,0,169.73,30.96
2018-10-13,135.0,71,431.35,0,165.7,23.11
2018-10-14,162.0,70,424.04,0,150.14,26.99
2018-10-15,174.0,75,425.91,0,189.55,33.85
2018-10-16,169.0,109,415.2,1,151.62,28.46
2018-10-17,156.0,89,412.26,0,163.19,25.89
2018-10-18,162.0,87,407.83,1,157.58,27.85
2018-10-19,158.0,93,400.76,0,134.48,18.99
2018-10-20,156.0,81,410.01,0,158.51,26.17
2018-10-21,178.0,96,422.72,0,133.94,21.09
2018-10-22,171.0,105,427.74,0,145.51,24.23
2018-10-23,155.0,93,421.02,0,150.93,25.19
2018-10-24,179.0,84,383.52,0,99.28,19.63
2018-10-25,171.0,90,454.28,0,171.24,30.47
2018-10-26,178.0,83,445.52,0,180.65,30.39
2018-10-27,176.0,65,434.0,0,141.87,18.15
2018-10-28,154.0,87,460.33,1,159.0,30.35
2018-10-29,158.0,84,408.43,1,160.0,33.4
2018-10-30,,77,460.02,0,126.94,19.5
2018-10-31,176.0,101,408.69,0,186.07,35.89
2018-11-01,167.0,95,430.38,0,180.1,30.29
2018-11-02,169.0,98,403.17,1,193.79,36.71
2018-11-03,187.0,92,426.38,0,164.28,23.84
2018-11-04,159.0,65,433.09,0,151.27,27.62
2018-11-05,176.0,91,423.38,0,163.32,24.1
2018-11-06,165.0,93,439.03,0,225.86,34.23
2018-11-07,165.0,62,427.98,0,158.09,20.83
2018-11-08,185.0,92,416.82,0,172.5,29.92
2018-11-09,181.0,70,416.04,0,193.79,32.71
2018-11-10,181.0,65,440.86,0,156.64,25.09
2018-11-11,189.0,98,414.51,0,172.13,29.45
2018-11-12,170.0,75,442.78,0,199.07,33.78
2018-11-13,180.0,88,448.33,1,207.8,37.3
2018-11-14,165.0,95,396.3,0,190.13,28.18
2018-11-15,175.0,92,446.75,1,162.68,25.91
2018-11-16,169.0,83,463.47,0,173.72,27.33
2018-11-17,172.0,83,430.94,0,131.33,18.44
2018-11-18,180.0,89,437.2,0,143.43,23.3
2018-11-19,159.0,83,445.11,0,160.43,25.28
2018-11-20,203.0,87,421.5,0,161.2,24.82
2018-11-21,157.0,81,429.76,0,165.12,29.01
2018-11-22,154.0,89,402.84,0,169.54,24.62
2018-11-23,190.0,89,429.02,0,174.78,23.12
2018-11-24,185.0,105,435.51,0,125.62,19.67
2018-11-25,182.0,92,435.85,1,212.24,36.91
2018-11-26,183.0,84,445.76,0,156.34,25.3
2018-11-27,173.0,89,412.65,0,184.06,26.93
2018-11-28,160.0,96,417.03,0,113.57,18.89
2018-11-29,175.0,76,460.76,0,154.27,22.43
2018-11-30,164.0,88,423.95,0,137.72,20.0
2018-12-01,189.0,62,430.28,0,132.53,22.43
2018-12-02,173.0,84,425.49,0,162.39,25.87
2018-12-03,163.0,98,411.93,0,175.41,24.94
2018-12-04,171.0,80,455.96,0,204.72,29.83
2018-12-05,182.0,89,417.26,0,222.39,34.34
2018-12-06,168.0,82,406.49,0,165.67,23.67
2018-12-07,164.0,79,418.69,0,175.77,27.36
2018-12-08,181.0,108,390.79,1,187.79,34.03
2018-12-09,181.0,78,415.12,0,201.22,29.43
2018-12-10,170.0,91,409.43,0,198.37,33.67
2018-12-11,171.0,91,437.99,0,195.88,28.34
2018-12-12,182.0,90,414.78,1,219.69,44.75
2018-12-13,157.0,90,442.9,0,185.0,28.99
2018-12-14,158.0,79,452.11,0,167.57,25.15
2018-12-15,169.0,94,441.02,0,179.73,30.21
2018-12-16,177.0,86,423.1,1,186.41,34.58
2018-12-17,185.0,86,429.54,0,191.2,32.77
2018-12-18,203.0,87,399.57,0,151.77,19.73
2018-12-19,194.0,101,424.63,0,191.02,32.04
2018-12-20,179.0,91,411.57,0,165.12,25.13
2018-12-21,181.0,99,439.58,0,184.06,29.55
2018-12-22,167.0,106,473.41,1,205.35,37.72
2018-12-23,182.0,96,436.12,0,154.71,27.88
2018-12-24,178.0,87,391.3,0,197.13,26.04
2018-12-25,188.0,101,420.66,0,146.41,26.97
2018-12-26,171.0,87,429.38,0,204.92,34.96
2018-12-27,191.0,73,428.77,0,196.68,31.92
2018-12-28,207.0,89,414.07,0,165.64,22.94
2018-12-29,183.0,96,431.66,0,156.91,21.17
2018-12-30,191.0,75,404.89,0,139.32,21.12
2018-12-31,195.0,83,410.27,0,207.25,35.13
2019-01-01,179.0,89,438.92,1,204.68,37.85
2019-01-02,189.0,100,409.04,0,195.09,32.91
2019-01-03,186.0,119,437.03,1,210.53,34.33
2019-01-04,188.0,90,402.71,0,241.82,38.85
2019-01-05,175.0,97,459.15,0,178.78,31.54
2019-01-06,188.0,97,413.46,0,202.91,36.88
2019-01-07,195.0,108,423.39,0,226.63,32.0
2019-01-08,210.0,86,433.39,0,207.75,32.14
2019-01-09,203.0,101,417.28,1,228.5,41.1
2019-01-10,221.0,100,430.06,1,235.08,41.28
2019-01-11,177.0,94,437.86,0,227.41,39.48
2019-01-12,202.0,128,444.81,1,232.51,53.03
2019-01-13,192.0,94,441.79,0,235.99,33.82
2019-01-14,223.0,95,424.47,1,220.22,42.14
2019-01-15,178.0,82,424.94,0,219.38,36.07
2019-01-16,178.0,116,469.88,1,200.06,37.96
2019-01-17,182.0,85,444.72,0,185.71,33.43
2019-01-18,160.0,111,411.05,1,209.57,39.94
2019-01-19,184.0,88,429.46,0,164.13,21.0
2019-01-20,181.0,82,421.65,0,186.91,25.88
2019-01-21,195.0,101,425.26,0,199.77,28.77
2019-01-22,198.0,98,405.59,1,172.42,29.96
2019-01-23,221.0,99,420.33,0,242.71,38.33
2019-01-24,208.0,100,460.37,0,205.41,32.2
2019-01-25,185.0,101,438.2,0,200.45,26.59
2019-01-26,181.0,103,382.96,1,234.5,37.72
2019-01-27,202.0,102,449.72,0,214.19,27.46
2019-01-28,175.0,86,447.45,0,192.58,26.32
2019-01-29,223.0,81,421.39,1,184.01,36.78
2019-01-30,213.0,103,440.79,0,228.39,35.62
2019-01-31,189.0,98,412.43,0,196.27,28.6
2019-02-01,170.0,90,419.46,0,238.07,31.24
2019-02-02,217.0,92,454.91,1,213.91,36.32
2019-02-03,195.0,76,423.07,0,195.99,33.14
2019-02-04,216.0,97,394.32,0,205.27,34.31
2019-02-05,173.0,123,426.86,1,234.16,42.43
2019-02-06,189.0,95,426.61,0,230.78,36.0
2019-02-07,198.0,103,449.61,1,253.26,40.12
2019-02-08,199.0,97,428.32,0,228.25,33.86
2019-02-09,192.0,119,420.49,0,276.29,46.51
2019-02-10,208.0,105,446.91,0,242.69,36.37
2019-02-11,183.0,88,430.29,0,231.33,42.65
2019-02-12,197.0,98,414.64,0,180.77,32.19
2019-02-13,201.0,101,448.95,0,252.4,38.67
2019-02-14,208.0,97,431.67,1,310.59,56.22
2019-02-15,211.0,106,428.25,0,230.86,44.64
2019-02-16,183.0,100,,1,215.74,42.65
2019-02-17,178.0,83,408.97,0,206.35,33.23
2019-02-18,220.0,99,418.76,0,196.21,31.94
2019-02-19,206.0,108,428.34,1,252.22,47.22
2019-02-20,190.0,99,424.8,0,247.16,39.48
2019-02-21,225.0,101,451.22,1,225.44,38.08
2019-02-22,204.0,92,432.25,0,200.67,30.9
2019-02-23,220.0,110,443.75,0,209.61,29.02
2019-02-24,203.0,103,428.55,0,196.36,33.55
2019-02-25,233.0,89,447.41,0,186.43,29.46
2019-02-26,229.0,80,435.58,0,206.04,35.36
2019-02-27,199.0,90,428.68,0,205.05,28.89
2019-02-28,218.0,101,428.22,0,253.97,46.05
2019-03-01,213.0,93,411.3,0,248.54,44.6
2019-03-02,224.0,102,437.62,1,268.01,43.25
2019-03-03,189.0,104,427.8,1,256.2,45.45
2019-03-04,214.0,99,419.5,0,242.45,37.35
2019-03-05,220.0,108,448.48,0,228.91,31.69
2019-03-06,178.0,100,406.08,0,267.33,41.73
2019-03-07,,101,421.0,0,251.99,42.43
2019-03-08,174.0,98,447.12,0,219.39,33.56
2019-03-09,201.0,105,434.32,1,240.14,38.26
2019-03-10,216.0,109,427.8,0,219.83,37.72
2019-03-11,228.0,108,433.2,0,217.49,32.22
2019-03-12,206.0,131,431.93,1,291.8,50.98
2019-03-13,230.0,106,401.42,0,232.07,42.98
2019-03-14,185.0,105,422.45,1,252.45,48.21
2019-03-15,180.0,91,457.86,0,241.52,35.71
2019-03-16,205.0,110,416.91,0,234.2,33.29
2019-03-17,212.0,102,423.07,1,236.28,47.14
2019-03-18,205.0,109,419.07,0,274.39,47.59
2019-03-19,175.0,93,427.27,0,199.78,30.45
2019-03-20,205.0,104,418.36,0,206.37,29.12
2019-03-21,187.0,90,437.64,0,234.1,38.81
2019-03-22,216.0,109,432.45,0,222.14,37.52
2019-03-23,212.0,89,442.84,0,197.99,30.57
2019-03-24,192.0,104,410.02,0,192.68,27.64
2019-03-25,199.0,99,422.83,0,230.81,37.02
2019-03-26,191.0,102,424.92,0,228.75,38.18
2019-03-27,206.0,97,437.2,0,226.6,34.6
2019-03-28,221.0,97,414.74,0,215.41,35.31
2019-03-29,192.0,103,445.52,0,212.88,35.21
2019-03-30,214.0,91,450.42,0,212.01,37.56
2019-03-31,199.0,91,411.28,0,235.35,36.17
2019-04-01,195.0,98,420.26,0,264.91,37.86
2019-04-02,205.0,97,419.55,0,259.58,41.27
2019-04-03,191.0,91,476.52,0,246.22,45.63
2019-04-04,199.0,120,421.42,1,290.82,46.11
2019-04-05,189.0,98,459.38,0,221.31,27.73
2019-04-06,236.0,99,406.4,0,227.32,36.0
2019-04-07,207.0,88,411.41,0,245.79,37.93
2019-04-08,196.0,122,416.88,0,260.54,40.87
2019-04-09,210.0,126,414.04,0,274.18,42.86
2019-04-10,205.0,93,424.46,0,271.98,47.62
2019-04-11,203.0,114,416.54,0,277.85,44.28
2019-04-12,216.0,110,414.57,1,256.44,50.59
2019-04-13,218.0,117,450.19,0,250.41,30.76
2019-04-14,199.0,115,451.39,1,244.56,43.3
2019-04-15,198.0,102,446.47,0,232.98,34.43
2019-04-16,202.0,76,438.83,0,200.25,25.18
2019-04-17,172.0,92,431.09,0,237.65,38.39
2019-04-18,184.0,101,420.49,0,201.57,31.95
2019-04-19,227.0,103,412.3,0,248.02,37.95
2019-04-20,231.0,99,436.01,1,268.94,49.25
2019-04-21,202.0,94,408.37,0,225.87,36.49
2019-04-22,215.0,107,411.63,0,233.31,40.88
2019-04-23,211.0,87,450.29,0,251.56,42.67
2019-04-24,252.0,102,463.77,0,237.71,39.21
2019-04-25,223.0,113,436.66,0,214.6,41.76
2019-04-26,204.0,105,449.52,0,228.33,34.11
2019-04-27,191.0,104,425.19,0,251.48,35.11
2019-04-28,181.0,81,405.56,0,179.95,31.96
2019-04-29,208.0,93,440.68,0,196.45,36.93
2019-04-30,194.0,131,439.93,1,271.83,47.7
2019-05-01,184.0,105,430.99,1,244.59,50.3
2019-05-02,195.0,113,425.36,0,228.03,34.66
2019-05-03,188.0,95,447.06,0,207.36,35.0
2019-05-04,230.0,108,412.02,1,213.24,41.5
2019-05-05,218.0,106,415.85,0,205.44,30.93
2019-05-06,204.0,102,411.65,0,277.8,52.14
2019-05-07,226.0,104,431.35,0,250.9,47.53
2019-05-08,205.0,92,410.26,0,205.48,29.73
2019-05-09,191.0,99,417.54,1,288.89,54.32
2019-05-10,226.0,91,417.18,0,272.91,47.41
2019-05-11,211.0,105,425.21,1,283.06,44.37
2019-05-12,187.0,98,403.15,0,225.12,36.11
2019-05-13,200.0,110,431.51,0,245.66,33.21
2019-05-14,189.0,111,452.41,1,268.85,52.43
2019-05-15,182.0,115,432.42,1,292.51,54.49
2019-05-16,216.0,101,457.74,0,230.19,35.54
2019-05-17,231.0,89,454.03,0,219.34,29.94
2019-05-18,181.0,100,444.04,0,231.85,35.01
2019-05-19,210.0,101,431.4,0,242.57,40.7
2019-05-20,192.0,107,430.49,0,226.48,36.1
2019-05-21,194.0,89,443.85,0,229.91,40.9
2019-05-22,192.0,79,423.07,0,211.17,37.36
2019-05-23,188.0,101,396.25,0,210.92,37.18
2019-05-24,201.0,103,439.02,0,199.94,30.38
2019-05-25,188.0,97,409.82,0,175.89,28.92
2019-05-26,204.0,99,412.88,0,188.81,27.48
2019-05-27,199.0,108,430.22,0,196.99,27.8
2019-05-28,196.0,94,428.53,0,216.09,38.41
2019-05-29,185.0,96,404.84,0,235.49,33.49
2019-05-30,190.0,99,433.26,0,218.81,30.76
2019-05-31,210.0,86,447.69,0,194.92,31.49
